"Tarih","Gönderen","Alıcı","Tutar","Açıklama"
"Airi Satou","Accountant","Tokyo","33","2008/11/28"
"Ashton Cox","Junior Technical Author","San Francisco","66","2009/01/12"
"Bradley Greer","Software Engineer","London","41","2012/10/13"
"Brielle Williamson","Integration Specialist","New York","61","2012/12/02"
"Caesar Vance","Pre-Sales Support","New York","21","2011/12/12"
"Cedric Kelly","Senior Javascript Developer","Edinburgh","22","2012/03/29"
"Charde Marshall","Regional Director","San Francisco","36","2008/10/16"
"Colleen Hurst","Javascript Developer","San Francisco","39","2009/09/15"
"Dai Rios","Personnel Lead","Edinburgh","35","2012/09/26"
"Doris Wilder","Sales Assistant","Sydney","23","2010/09/20"
"Garrett Winters","Accountant","Tokyo","63","2011/07/25"
"Gavin Cortez","Team Leader","San Francisco","22","2008/10/26"
"Gloria Little","Systems Administrator","New York","59","2009/04/10"
"Haley Kennedy","Senior Marketing Designer","London","43","2012/12/18"
"Herrod Chandler","Sales Assistant","San Francisco","59","2012/08/06"
"Jena Gaines","Office Manager","London","30","2008/12/19"
"Jenette Caldwell","Development Lead","New York","30","2011/09/03"
"Martena Mccray","Post-Sales support","Edinburgh","46","2011/03/09"
"Michael Silva","Marketing Designer","London","66","2012/11/27"
"Paul Byrd","Chief Financial Officer (CFO)","New York","64","2010/06/09"
"Quinn Flynn","Support Lead","Edinburgh","22","2013/03/03"
"Rhona Davidson","Integration Specialist","Tokyo","55","2010/10/14"
"Sonya Frost","Software Engineer","Edinburgh","23","2008/12/13"
"Tatyana Fitzpatrick","Regional Director","London","19","2010/03/17"
"Tiger Nixon","System Architect","Edinburgh","61","2011/04/25"
"Unity Butler","Marketing Designer","San Francisco","47","2009/12/09"
"Yuri Berry","Chief Marketing Officer (CMO)","New York","40","2009/06/25"
